year month day precipitation_mswep
1982 05 30 0.023
1982 05 31 0.000
1982 06 01 0.000
1982 06 02 0.000
1982 06 03 0.000
1982 06 04 4.878
1982 06 05 10.280
1982 06 06 0.124
1982 06 07 0.009
1982 06 08 0.000
1982 06 09 0.000
1982 06 10 0.000
1982 06 11 0.000
1982 06 12 0.000
1982 06 13 0.000
1982 06 14 0.000
1982 06 15 0.000
1982 06 16 0.000
1982 06 17 0.000
1982 06 18 0.000
1982 06 19 0.000
1982 06 20 0.000
1982 06 21 0.000
1982 06 22 0.000
1982 06 23 0.003
1982 06 24 0.000
1982 06 25 0.007
1982 06 26 0.000
1982 06 27 0.000
1982 06 28 0.000
1982 06 29 1.935
1982 06 30 0.039
1982 07 01 0.000
1982 07 02 0.000
1982 07 03 0.000
1982 07 04 0.000
1982 07 05 0.000
1982 07 06 0.000
1982 07 07 0.000
1982 07 08 0.000
1982 07 09 0.000
1982 07 10 0.000
1982 07 11 0.000
1982 07 12 0.000
1982 07 13 0.136
1982 07 14 0.013
1982 07 15 0.017
1982 07 16 0.012
1982 07 17 0.002
1982 07 18 6.049
1982 07 19 1.650
1982 07 20 0.000
1982 07 21 0.000
1982 07 22 0.000
1982 07 23 0.000
1982 07 24 0.000
1982 07 25 0.000
1982 07 26 0.000
1982 07 27 0.000
1982 07 28 0.000
1982 07 29 0.000
1982 07 30 0.000
1982 07 31 0.000
1982 08 01 0.000
1982 08 02 0.000
1982 08 03 0.000
1982 08 04 9.204
1982 08 05 14.843
1982 08 06 0.005
1982 08 07 0.000
1982 08 08 0.000
1982 08 09 0.000
1982 08 10 0.253
1982 08 11 0.011
1982 08 12 0.005
1982 08 13 0.000
1982 08 14 0.000
1982 08 15 0.000
1982 08 16 0.000
1982 08 17 0.000
1982 08 18 0.000
1982 08 19 0.007
1982 08 20 0.000
1982 08 21 0.037
1982 08 22 0.000
1982 08 23 0.000
1982 08 24 0.000
1982 08 25 0.159
1982 08 26 0.292
1982 08 27 0.438
1982 08 28 0.012
1982 08 29 1.722
1982 08 30 1.894
1982 08 31 0.004
1982 09 01 0.000
1982 09 02 0.000
1982 09 03 0.123
1982 09 04 1.048
1982 09 05 0.953
1982 09 06 0.000
1982 09 07 0.000
1982 09 08 0.000
1982 09 09 0.000
1982 09 10 0.000
1982 09 11 0.000
1982 09 12 0.011
1982 09 13 8.366
1982 09 14 5.720
1982 09 15 0.474
1982 09 16 0.000
1982 09 17 0.000
1982 09 18 9.260
1982 09 19 0.639
1982 09 20 0.000
1982 09 21 0.003
1982 09 22 6.418
