gauge_id crop_perc crop_mosaic_perc forest_perc shrub_perc grass_perc barren_perc imperv_perc wet_perc snow_perc dom_land_cover dom_land_cover_perc
39870000 11.95440 79.06990 4.52760 4.33260 0.00720 0.10110 0.00000 0.00720 0.00000 crop_mosaic 79.06990
40025000 2.32290 40.43590 14.82650 42.41470 0.00000 0.00000 0.00000 0.00000 0.00000 shrub 42.41470
40037000 0.85670 49.73370 2.90580 46.48070 0.02320 0.00000 0.00000 0.00000 0.00000 crop_mosaic 49.73370
40040000 2.30090 79.43750 5.40540 12.85610 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 79.43750
40050000 6.45920 65.04980 3.45120 24.97840 0.01990 0.00000 0.00000 0.04150 0.00000 crop_mosaic 65.04980
40053000 19.56140 71.07290 7.17250 2.19320 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 71.07290
40060001 2.81000 58.25750 21.99370 16.84460 0.00000 0.00000 0.00000 0.09420 0.00000 crop_mosaic 58.25750
40100000 8.49550 72.51180 4.32380 14.47250 0.03110 0.00060 0.00000 0.16490 0.00000 crop_mosaic 72.51180
40150000 3.91730 76.74160 7.86670 10.73790 0.11380 0.00000 0.00000 0.62260 0.00000 crop_mosaic 76.74160
40170000 12.12400 72.65190 10.18010 5.04400 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 72.65190
40185000 9.48830 74.68560 9.98670 5.83930 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 74.68560
40330000 6.82370 75.06180 8.26920 9.43710 0.06790 0.00240 0.05940 0.27870 0.00000 crop_mosaic 75.06180
40500000 10.44200 78.18870 6.48040 4.84310 0.00000 0.00000 0.00000 0.04580 0.00000 crop_mosaic 78.18870
40549998 5.13360 74.27420 5.51810 15.07400 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 74.27420
40579995 2.51320 30.73230 24.66650 40.10240 0.57400 0.01550 0.51190 0.88430 0.00000 shrub 40.10240
40680000 1.46800 63.92770 7.16080 27.44360 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 63.92770
40710000 2.33600 57.20390 12.61990 27.19650 0.25170 0.07010 0.10520 0.21670 0.00000 crop_mosaic 57.20390
40740000 2.28480 59.62460 13.41050 24.19900 0.21250 0.05150 0.07090 0.14600 0.00000 crop_mosaic 59.62460
40800001 2.53410 58.01830 14.14930 24.00190 0.23920 0.04480 0.64200 0.37040 0.00000 crop_mosaic 58.01830
40810350 4.13220 67.76850 18.18170 9.91740 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 67.76850
40810800 2.04720 65.19680 18.74020 13.70080 0.31500 0.00000 0.00000 0.00000 0.00000 crop_mosaic 65.19680
40811100 1.85330 67.84850 14.50450 14.42390 1.36990 0.00000 0.00000 0.00000 0.00000 crop_mosaic 67.84850
40822995 3.30260 71.96620 10.13820 14.59290 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 71.96620
40823500 2.30930 64.66170 10.04300 22.98600 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 64.66170
40850000 4.17540 63.03250 11.60210 20.20500 0.19420 0.02950 0.42290 0.33850 0.00000 crop_mosaic 63.03250
40975000 3.40660 43.11240 1.65670 51.72190 0.05580 0.04650 0.00000 0.00000 0.00000 shrub 51.72190
41050000 2.17790 90.95590 3.02480 3.84150 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 90.95590
41135000 6.18570 63.61720 7.86070 20.54740 0.13950 0.01390 0.06760 1.56800 0.00000 crop_mosaic 63.61720
41199998 0.08130 11.83880 44.95730 42.18780 0.69680 0.00580 0.00000 0.23220 0.00000 forest 44.95730
41260000 2.40990 25.19070 34.98740 30.00100 0.51680 0.01930 6.69850 0.17630 0.00000 forest 34.98740
41300000 4.35090 42.43250 37.34920 15.80990 0.05740 0.00000 0.00000 0.00000 0.00000 crop_mosaic 42.43250
41380000 2.87450 54.13610 5.03040 37.95910 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 54.13610
41410000 3.60060 42.35270 24.42560 25.52260 0.31850 0.02020 3.58790 0.17190 0.00000 crop_mosaic 42.35270
41440005 2.19010 71.67780 4.19450 20.11880 1.11360 0.00000 0.25980 0.44540 0.00000 crop_mosaic 71.67780
41539998 2.88750 69.50990 2.84960 22.30240 0.62690 0.15200 1.23480 0.43690 0.00000 crop_mosaic 69.50990
41650002 3.55090 52.71070 17.03380 23.95910 0.21520 0.02190 2.38660 0.12190 0.00000 crop_mosaic 52.71070
41685000 5.71490 67.46230 12.78730 14.02450 0.00000 0.01090 0.00000 0.00000 0.00000 crop_mosaic 67.46230
