gauge_id geol_class_1st geol_class_1st_perc geol_class_2nd geol_class_2nd_perc carb_rocks_perc geol_porosity geol_permeability
40810800 acid_plutonic_rocks 50.42000 metamorphics 40.08000 0.00000 0.02730 -13.01940
40811100 metamorphics 41.87000 acid_plutonic_rocks 37.16000 0.00000 0.04740 -13.01050
40822995 acid_plutonic_rocks 73.06000 metamorphics 12.26000 0.00000 0.03000 -13.26650
40823500 acid_plutonic_rocks 51.02000 siliciclastic_sedimentary_rocks 37.12000 0.00000 0.07550 -13.77570
40850000 metamorphics 54.72000 acid_plutonic_rocks 35.96000 0.73000 0.02110 -13.65020
40975000 mixed_sedimentary_rocks 50.22000 siliciclastic_sedimentary_rocks 28.47000 0.48000 0.17800 -14.30300
41050000 pyroclastics 40.49000 mixed_sedimentary_rocks 37.82000 0.00000 0.14940 -13.76860
41135000 mixed_sedimentary_rocks 24.96000 acid_plutonic_rocks 20.52000 0.99000 0.12310 -13.58500
41199998 metamorphics 37.22000 siliciclastic_sedimentary_rocks 30.62000 3.92000 0.06880 -14.33550
41260000 metamorphics 56.95000 siliciclastic_sedimentary_rocks 19.68000 4.62000 0.05600 -14.16910
41300000 metamorphics 48.59000 acid_plutonic_rocks 39.75000 0.00000 0.03620 -13.93970
41380000 mixed_sedimentary_rocks 80.40000 siliciclastic_sedimentary_rocks 8.92000 2.92000 0.11620 -14.35410
41410000 metamorphics 38.83000 mixed_sedimentary_rocks 30.42000 6.33000 0.07940 -13.89950
41440005 mixed_sedimentary_rocks 58.55000 metamorphics 22.75000 17.49000 0.12220 -13.42310
41539998 mixed_sedimentary_rocks 71.42000 metamorphics 11.77000 11.53000 0.12460 -13.25270
41650002 mixed_sedimentary_rocks 50.46000 metamorphics 25.83000 5.07000 0.09480 -13.70840
41685000 mixed_sedimentary_rocks 69.13000 unconsolidated_sediments 28.10000 2.77000 0.14660 -13.81220
41780002 siliciclastic_sedimentary_rocks 31.42000 mixed_sedimentary_rocks 23.91000 5.95000 0.11710 -13.43890
41818000 mixed_sedimentary_rocks 45.33000 metamorphics 23.01000 6.61000 0.10290 -13.72680
41890000 siliciclastic_sedimentary_rocks 37.09000 mixed_sedimentary_rocks 25.05000 17.66000 0.13590 -13.91930
41990000 mixed_sedimentary_rocks 40.20000 siliciclastic_sedimentary_rocks 19.63000 7.06000 0.12170 -13.71910
42089998 carbonate_sedimentary_rocks 55.17000 siliciclastic_sedimentary_rocks 20.12000 55.17000 0.12590 -12.51190
42100000 carbonate_sedimentary_rocks 83.27000 unconsolidated_sediments 12.92000 83.27000 0.08740 -12.57830
42187000 carbonate_sedimentary_rocks 62.85000 unconsolidated_sediments 20.84000 62.85000 0.11410 -12.23930
42210000 mixed_sedimentary_rocks 26.44000 siliciclastic_sedimentary_rocks 19.60000 7.62000 0.12910 -13.46550
42250000 metamorphics 86.30000 unconsolidated_sediments 10.14000 0.00000 0.03790 -13.00000
42255000 metamorphics 74.93000 unconsolidated_sediments 25.07000 0.00000 0.06240 -13.00000
42257000 metamorphics 71.00000 unconsolidated_sediments 25.31000 0.00000 0.06910 -12.98080
42290000 metamorphics 47.53000 unconsolidated_sediments 29.24000 1.93000 0.10720 -13.11130
42395000 metamorphics 31.00000 unconsolidated_sediments 29.45000 2.03000 0.13240 -13.19230
42440000 metamorphics 76.90000 unconsolidated_sediments 13.10000 0.00000 0.05580 -12.95310
42490000 mixed_sedimentary_rocks 54.04000 unconsolidated_sediments 29.51000 0.00000 0.16930 -12.96610
