gauge_id q_mean runoff_ratio stream_elas slope_fdc baseflow_index hfd_mean Q5 Q95 high_q_freq high_q_dur low_q_freq low_q_dur zero_q_freq
39100000 0.03581 0.02306 2.15946 nan 0.16404 213.09091 0.00000 0.06160 25.72038 9.57692 339.52962 124.03774 0.00930
39130000 0.05723 0.03479 3.67858 nan 0.47326 196.26667 0.00000 0.23650 136.61716 100.74074 271.12479 65.82927 0.00626
39140000 0.02888 0.01642 0.06111 nan 0.32734 229.47368 0.00000 0.13110 172.20000 34.44000 250.90000 53.38298 0.00529
39145000 0.03915 0.02171 1.36036 nan 0.30535 244.05556 0.00000 0.12873 163.66669 55.01695 230.67625 60.19737 0.00552
39150000 0.06558 0.03538 -0.00899 3.34142 0.35463 246.10526 0.00070 0.22478 29.87679 4.50758 178.10582 20.26857 0.00005
39170000 0.51118 0.21224 2.25767 4.54683 0.30862 242.11765 0.00190 1.45430 42.25390 4.63068 201.10784 20.63298 0.00037
39185000 0.14646 0.07280 1.05148 1.39195 nan 248.00000 0.01590 0.45380 14.28851 5.23077 23.84920 15.13333 0.00029
39187800 0.11443 0.05694 1.78836 3.68013 0.39836 255.41176 0.00240 0.45270 35.02749 4.61486 166.62416 14.12609 0.00000
39360000 0.20927 0.11233 1.85928 2.69450 0.57618 247.42105 0.03350 0.69650 12.89355 2.90909 45.53034 10.04444 0.00000
39480000 1.84016 0.53541 0.72731 1.95105 0.70835 237.26316 0.35790 4.94478 0.30299 1.20000 18.33067 11.00000 0.00000
39540000 0.09185 0.04963 2.71359 17.29427 0.40817 216.37500 0.00000 0.30580 35.51540 6.66346 179.98569 39.90909 0.00333
39560000 0.50671 0.21865 1.55662 2.14107 0.65966 249.25000 0.10210 1.46780 4.45000 2.11905 17.90000 6.75472 0.00000
39580000 1.50778 0.45989 0.98620 1.68712 0.66356 248.10000 0.35860 4.28120 3.90000 2.51613 13.35000 7.85294 0.00000
39760000 0.74477 0.28443 1.48020 2.86504 0.52071 265.60000 0.07260 2.54770 13.65000 2.11628 64.05000 11.54054 0.00000
39770000 0.74287 0.27787 1.15032 2.72162 0.56865 262.50000 0.10290 2.29242 8.75000 1.96629 42.35000 11.92958 0.00000
39870000 0.73155 0.26780 1.18950 3.66256 0.51701 267.47368 0.04670 2.30120 13.30042 2.32143 96.53036 20.29032 0.00003
40025000 2.28295 0.49426 0.94574 1.48283 0.68757 163.17647 0.83250 5.86190 4.02451 1.59184 0.00000 0.00000 0.00000
40037000 2.47240 0.54135 2.02550 2.23612 0.60146 159.10000 0.58690 8.01970 10.50000 2.03883 3.35000 4.18750 0.00000
40040000 1.85906 0.43472 2.71611 2.12199 nan 169.64706 0.44370 5.18804 3.99986 1.85366 8.31549 7.52381 0.00000
