year month day precipitation_cpc
1982 12 12 1.325
1982 12 13 0.449
1982 12 14 1.009
1982 12 15 0.029
1982 12 16 0.703
1982 12 17 5.452
1982 12 18 1.048
1982 12 19 0.000
1982 12 20 1.189
1982 12 21 20.777
1982 12 22 13.561
1982 12 23 10.383
1982 12 24 1.133
1982 12 25 19.340
1982 12 26 11.955
1982 12 27 11.208
1982 12 28 8.372
1982 12 29 5.526
1982 12 30 1.495
1982 12 31 1.941
1983 01 01 10.102
1983 01 02 14.538
1983 01 03 19.554
1983 01 04 36.038
1983 01 05 16.411
1983 01 06 13.848
1983 01 07 9.757
1983 01 08 6.275
1983 01 09 27.044
1983 01 10 18.319
1983 01 11 12.585
1983 01 12 4.975
1983 01 13 4.446
1983 01 14 4.946
1983 01 15 6.459
1983 01 16 0.161
1983 01 17 0.113
1983 01 18 0.951
1983 01 19 13.520
1983 01 20 3.035
1983 01 21 15.303
1983 01 22 10.119
1983 01 23 12.819
1983 01 24 42.510
1983 01 25 16.062
1983 01 26 7.447
1983 01 27 8.524
1983 01 28 2.404
1983 01 29 0.937
1983 01 30 0.662
1983 01 31 0.299
1983 02 01 2.358
1983 02 02 0.360
1983 02 03 5.945
1983 02 04 4.562
1983 02 05 3.743
1983 02 06 10.274
1983 02 07 5.622
1983 02 08 10.856
1983 02 09 13.993
1983 02 10 28.528
1983 02 11 20.151
1983 02 12 11.125
1983 02 13 13.277
1983 02 14 1.185
1983 02 15 0.252
1983 02 16 0.290
1983 02 17 0.114
1983 02 18 0.091
1983 02 19 1.625
1983 02 20 1.939
1983 02 21 2.171
1983 02 22 7.529
1983 02 23 4.235
1983 02 24 4.373
1983 02 25 0.112
1983 02 26 0.000
1983 02 27 0.000
1983 02 28 0.567
1983 03 01 4.506
1983 03 02 2.110
1983 03 03 0.301
1983 03 04 0.093
1983 03 05 0.709
1983 03 06 0.130
1983 03 07 0.451
1983 03 08 2.552
1983 03 09 1.496
1983 03 10 3.438
1983 03 11 0.000
1983 03 12 0.066
